period,stock_id,vendor,data_type,report_index,report_index_description,report_index_standard,report_index_value,report_index_analysis,report_index_note,report_score,report_signal,report_score_detail,report_score_summary,report_risk
Period,Stock ID,Vendor,Data Type,Report Index,Report Index Description,Report Index Standard,Report Index Value,Report Index Analysis,Report Index Note,Report Score,Report Signal,Report Score Detail,Report Score Summary,Report Risk
2025Q4,3015,全漢,2,,,,,,,52,黃燈,"償債能力指標（利息保障倍數、流動比、速動比、現金比、負債對淨值比率、長期負債）皆優於標準，顯示公司短期及長期償債能力強，財務結構穩健。
獲利能力指標（營業利益率、稅後淨利率、每股稅後盈餘、資產報酬率、股東權益報酬率）多數劣於標準，顯示本業獲利能力不足，需改善營運效率。
營運效率指標（存貨週轉率、應收帳款週轉率、總資產週轉率、存貨佔營收比率、應收帳款佔營收比率）多數低於標準，資金回收速度慢，存貨積壓風險高。
資本結構指標（股東權益總額、負債總額、流動負債）皆優於標準，資本結構健康，長期財務壓力低。",本公司在償債能力與資本結構表現優異，但營運效率與獲利能力明顯不足，整體評分為52分，屬於黃燈區，需積極改善營運效率及獲利能力，否則將影響未來財務穩健度。,全漢公司2025Q4財務結構穩健，短期及長期償債能力強，負債比例低，無長期負債。但營運效率與獲利能力指標多數劣於一般標準，特別是應收帳款佔營收比率與存貨積壓問題嚴重，資金回收速度慢，營業利益率為負數，顯示本業虧損，淨利率及資產報酬率亦偏低。最重要的風險為營運效率與獲利能力不足，建議加強收款管理、優化存貨周轉、提升本業獲利能力，並持續監控營運現金流量，以確保公司財務穩健。
2025Q4,6732,昇佳,2,,,,,,,57,黃燈,"短期償債能力極強（如流動比、速動比、現金比、利息保障倍數等均遠優於標準），顯示公司現金流量與償債能力無虞。
資本結構穩健（股東權益總額、負債對淨值比率、負債總額均優於標準），財務風險低。
存貨、應收帳款比率偏高且週轉率偏低，顯示資金運用效率與存貨管理需加強，資金積壓風險高。
獲利能力指標（如每股盈餘、營業利益率、毛利率、稅後淨利率、資產報酬率等）多數低於標準，且成長率為負，顯示營運效率及本業獲利需改善。",儘管昇佳公司在償債能力及資本結構上表現優異，整體財務風險偏低，但存貨及應收帳款積壓、獲利能力下滑等問題明顯，導致評分僅為57分，屬於黃燈區間，需積極改善營運效率與獲利能力。,昇佳公司2025Q4財務結構穩健，短期及長期償債能力極強，現金流量充裕，負債壓力低，整體財務風險不高。然而，存貨與應收帳款占比偏高且週轉率偏低，資金利用效率不佳，並且獲利能力指標普遍下滑，顯示營運效率及本業獲利能力有待提升。最重要的風險在於存貨及應收帳款積壓，可能導致資金調度困難及呆帳風險。建議公司加強存貨管理、提升應收帳款回收效率，並積極改善本業獲利能力，以降低未來財務風險。
2025Q4,8042,金山電,2,,,,,,,38,紅燈,"流動比、速動比、現金比、流動負債等短期償債能力指標皆優於標準，顯示公司短期資金安全。
存貨佔營收比率、存貨週轉率、應收帳款佔營收比率、應收帳款週轉率皆遠低於標準，營運資金管理存在重大風險。
獲利能力指標如每股盈餘、營業利益率、毛利率、淨利率、資產報酬率、股東權益報酬率多數低於標準，整體獲利能力偏弱。
負債對淨值比率、負債總額皆偏高，資本結構風險需注意。",雖然短期償債能力良好，但營運資金管理與獲利能力指標普遍低於標準，負債結構亦不理想，整體財務風險偏高，因此評分僅38分，屬紅燈警示。,金山電公司2025Q4財報顯示，雖然短期償債能力具備優勢，但存貨與應收帳款積壓嚴重，營運資金管理不佳，且獲利能力指標多數低於標準，負債結構偏高。最重要的風險在於營運資金管理與獲利能力，建議公司加強存貨與應收帳款管理、提升資產運用效率、改善獲利能力，並適度降低負債比率以強化財務結構。
2025Q4,6217,中探針,2,,,,,,,30,紅燈,"獲利能力嚴重不足：營業利益率、稅後淨利率、每股盈餘、資產報酬率、股東權益報酬率皆為負值，顯示本業及整體營運皆處於虧損狀態。
資金流動性風險高：流動比、速動比、現金流量比皆低於標準，且存貨及應收帳款佔比過高，現金流壓力大。
財務結構壓力偏高：負債對淨值比率過高，雖然股東權益總額尚可，但槓桿壓力大，利息保障倍數為負值，償債能力極弱。
部分指標尚可：現金比、長期負債比、股東權益總額、負債總額等指標在合理範圍，顯示資本結構尚有一定穩健性，但難以彌補整體營運與流動性風險。",中探針公司2025Q4多數關鍵財務指標均明顯劣於一般標準，特別是在獲利能力、現金流動性與資金回收方面問題嚴重，僅有部分資本結構指標尚可，整體財務風險極高，因此評分僅給予30分，屬於紅燈警示。,中探針公司2025Q4財務狀況顯示，獲利能力嚴重不足，現金流與資金回收壓力極大，短期及長期償債能力皆偏弱，且利息保障倍數為負值，易陷入財務危機。最重要的風險在於本業持續虧損與現金流惡化，若無法改善營運效率、加速存貨及應收帳款回收，並有效控管成本，將面臨更嚴重的流動性與償債風險。建議公司加強營運管理、優化產品結構、積極催收應收帳款、降低存貨水位，並審慎規劃資金運用，以提升整體財務體質。
2025Q4,6126,信音,2,,,,,,,44,黃燈,"短期償債能力極佳：流動比、速動比、現金比、現金流量比均遠高於標準，顯示公司短期資金無虞。
獲利能力極弱：每股稅後盈餘、稅後淨利率、資產報酬率、股東權益報酬率均遠低於標準，獲利能力嚴重不足。
營運效率不佳：應收帳款佔營收比率、應收帳款週轉率、存貨佔營收比率、存貨週轉率及總資產週轉率均劣於標準，資金回收與資產運用效率低下。
資本結構穩健：股東權益總額、負債對淨值比率、負債總額、長期負債均優於標準，資本結構健康。",雖然信音公司短期償債能力及資本結構表現優異，但營運效率與獲利能力極度低落，且應收帳款與存貨占用資金過高，導致整體評分僅為44分，屬於黃燈區間，需高度注意營運與獲利風險。,信音公司2025Q4財務狀況顯示短期償債能力與資本結構穩健，但最重要的風險在於營運效率與獲利能力極度低落：應收帳款佔營收比率高達203.2%，週轉率僅2.2次/年，存貨佔營收比率67.03%，週轉率僅5.46次/年，且每股盈餘與淨利率皆偏低。建議公司加強收款管理、提升存貨流動性、優化營運流程，並積極改善獲利結構，否則將面臨資金回收困難與獲利惡化的重大財務風險。
2025Q4,3294,英濟,2,,,,,,,38,紅燈,"獲利能力極弱：每股盈餘、毛利率、營業利益率、淨利率等多項指標遠低於標準，顯示主營業務與整體獲利能力嚴重不足。
應收帳款與存貨風險高：應收帳款占營收比、週轉率及存貨占營收比均顯著惡化，現金流壓力大，壞帳及存貨損失風險高。
償債能力尚可：流動比、速動比、現金比等短期償債指標多數符合或優於標準，短期償債壓力不大。
資本結構偏穩健但財務槓桿略高：股東權益總額占比高於標準，負債對淨值比率略高，需注意槓桿風險。",英濟公司在償債能力及資本結構上表現尚可，但獲利能力、現金流量、應收帳款及存貨管理均嚴重劣於標準，整體財務風險偏高，評分僅38分，屬於紅燈區，建議高度重視經營改善。,英濟公司2025Q4整體財務風險偏高，最主要風險來自於極低的獲利能力（如每股盈餘、毛利率、淨利率皆遠低於標準）、應收帳款與存貨積壓（週轉率低且占營收比高），導致現金流量緊縮，且未來壞帳及存貨損失風險大增。建議公司應加強應收帳款管理、優化存貨結構，提升主營業務獲利能力，並審慎控管費用，強化現金流量，以降低財務風險。
2025Q4,2486,一詮,2,,,,,,,38,紅燈,"流動比、速動比、現金比等短期償債能力指標優於標準，顯示短期資金壓力不大。
存貨、應收帳款相關指標嚴重劣於標準，顯示營運資金周轉困難，流動性風險極高。
獲利能力（如EPS、營業利益率、稅後淨利率、資產報酬率等）明顯偏低，顯示本業經營效益不佳。
負債對淨值比率偏高，長期負債略高於標準，資本結構有惡化趨勢。",雖然短期償債能力尚可，但營運資金周轉與獲利能力極弱，且資本結構偏向高槓桿，整體財務風險偏高，因此評分僅38分，屬於紅燈等級。,一詮公司2025Q4財務結構顯示，雖然短期償債能力充足，但存貨與應收帳款積壓嚴重，營運資金周轉不良，且本業獲利能力極弱，資產報酬率低，負債水準偏高，整體財務風險顯著。最重要的風險在於營運資金被大量存貨與應收帳款占用，導致現金流緊張，若無法有效改善存貨與應收帳款管理，未來將面臨流動性危機。建議公司加強存貨控管、加速應收帳款回收，同時提升本業獲利能力，降低財務槓桿，以改善整體財務體質。
2025Q4,2371,大同,2,,,,,,,22,紅燈,"獲利能力極差：包括每股稅後盈餘、稅後淨利率、資產報酬率、股東權益報酬率等皆為嚴重負值，顯示公司處於重大虧損狀態。
償債能力尚可：流動比、速動比、現金比皆優於標準，短期償債能力良好，但營業現金流量比偏低，需注意現金流穩定性。
資產與負債結構不理想：負債對淨值比率、負債總額均高於標準，財務槓桿過高，結構偏向高風險。
營運效率與資金管理不佳：存貨與應收帳款比率過高，週轉率偏低，資產利用效率差，資金積壓嚴重。",大同公司2025Q4財務指標多數遠低於一般標準，尤其獲利能力、資產運用效率及財務結構皆顯示高風險，僅短期償債能力尚可，因此評分僅22分，屬於紅燈警示。,大同公司目前面臨嚴重的財務風險，最重要的問題是獲利能力極差，連帶影響資產報酬率、股東權益報酬率及現金流量。存貨積壓與應收帳款回收不佳導致資金流動性風險，且高負債比率增加財務槓桿與償債壓力。建議公司積極改善營運效率、加速資產週轉、降低存貨與應收帳款，並強化成本控管及提升產品毛利率，同時規劃資本結構，降低負債比率，以改善整體財務狀況。
2025Q4,8289,泰藝,2,,,,,,,58,黃燈,"流動性及償債能力指標（如流動比、速動比、現金比、現金流量比、負債對淨值比率）均大幅優於標準，顯示短期償債壓力極低。
存貨及應收帳款相關指標（如存貨佔營收比率、應收帳款佔營收比率、週轉率）明顯劣於標準，資金占用嚴重且回收風險高。
獲利能力指標（如每股稅後盈餘、營業利益率、稅後淨利率、資產報酬率）多數低於標準，僅毛利率及盈餘成長率表現良好，整體獲利結構需改善。
資本結構健全，負債比例低，股東權益比重高，長期財務壓力小。",泰藝公司在償債能力及資本結構方面表現優異，但獲利能力偏弱，且存貨及應收帳款過高導致資金流動性風險上升，因此給予58分，屬於黃燈區間，須積極改善營運效率與獲利品質。,泰藝公司2025Q4財務結構穩健，短期及長期償債能力充足，負債壓力小。然而，存貨及應收帳款佔比過高且週轉率明顯偏低，顯示營運資金被大量占用，現金流雖充裕但未來若營運效率未改善，將加重流動性風險。此外，獲利能力偏弱，若無法提升營業利益率與資產報酬率，長期將影響公司競爭力。建議公司加強存貨與應收帳款管理，提升營運效率，並強化獲利結構，以降低財務風險。
